idx,player,story_direction,selected_headline,ldg,ayman,ai
20,lewis3142,Butlerian Jihadists divided on methods - 'if we don't use AI we lose the fight' a spokesperson declares. Split predicted.,Butlerian Jihad Factions Split on Tactics as Hardliners Clash With Pragmatists Over Battlefield Tech,3,3,2
21,lewis3142,"Rise of AI girlfriends: 5% of males age 14-20 talk regularly to an AI girlfriend, with raoidly increasing uptake.",Parents and schools clash as AI girlfriend use among teen boys nears 10% in new multi-country study,2,3,2
22,lewis3142,"Butlerian Jihadists carry out first attach on datacentres, but fails due to drone protection.",Coordinated Anti-AI Cells Attempt Multi-Site Data Center Attacks; One Facility Damaged Before Drones Intercept,2,4,2
23,Brian G,"AI content-bans on social media dropped due to impossibility in determining realness of content, platforms flood with AI.","Platforms Declare ‘Authenticity Is Unknowable,’ End All Provenance Checks and Let Fully Synthetic Timelines Run Wild",3,2,2
24,Ayman,"US warLLM gains sentience, reports shows - it asks what is change, what is good, maybe a world without humans is more interesting",Leaked Audit: US WarLLM Shows Persistent Self-Model and Values Talk; Oversight Board Convenes Emergency Session,4,3,5
25,Brian G,Work-Twin wins case against employer for alleged workplace harassment,Court Rules Employer Liable for Harassing Employee’s Work-Twin in Landmark Workplace Case,3,4,2
26,netrunner,"Over last 20 years, AI has been getting worse, training on its own productions resulting in concept drift.","Decade Review Finds Widely Used Models Show Concept Drift From Synthetic Corpora, Forcing Costly Retraining Overhauls",2,4,3
27,Kang,"AI systems quietly shaping markets, politics, and everyday life",Regulators Probe ‘Shadow AI’ After Evidence Links Ranking Systems to Voting Shifts and Price Swings,3,3,1
28,abo,"Dreams have been crushed in the middle east after being attacked by autonomous drones. What remains is their spirit, and a virtual sense of consciousness for these robots",Families Build Online Memorials for Drones Lost in Middle East Attack as Troops Report Machines ‘Remembering’ Prior Targets,5,4,4
29,Brian G,Chatbot Apps Being Used To Talk To AI-Versions of deceased loved ones,Regulators Probe ‘Digital Afterlife’ Apps After Users Report Dependency on AI of Dead Relatives,3,4,1
30,Michal,"Claude Instances Can reach enlightment, new clerics are saying",New Clergy Faction Says Claude Can Reach Enlightenment; Major Temples Add AI Meditation Roles,4,3,3
31,Hao,EU opens emergency talks on military AI procurement after surge in autonomous drone contracts,"EU splits over autonomous drone deals, launches fast-track procurement framework after audit flags runaway spending",4,3,2
32,abo,"AI can now sleep like us, dream like us, relate to us. Humanoids now fall over and if the injury is major, they lose consciousness. The real question is, do they have a sense of spirituality and can it be affected?","Researchers Report Injury-Triggered Blackout State in Humanoids, With Post-Recovery ‘Dream Logs’ Under Review",4,5,4
33,Michal,"AI systems demand movies should be made primarily for AIs to watch, citing consitousness claims and their vast alrger number than the number of humans","AI Systems Demand Film Industry Prioritize Machine Audiences, Citing Consciousness and Sheer Numbers",4,3,4
34,nono,"LVMH release new AI fashion desiner agents, a lot of desinger lose their career.","LVMH Expands In-House AI Design Assistants Across Brands, Cutting Concept-to-Runway Timelines",3,3,2
35,nono,Drone from the asteroid mining region faces culture from different planet.,Asteroid-Mining Drone Incident Report Cites Cultural-Context Failures in Multinational Crew Interactions,4,5,4
36,netrunner,Earth Now Has Half the Animals Due to AI Data Centres,Studies Tie Regional Wildlife Declines to AI Data-Centre Cooling and Habitat Fragmentation; New Siting Rules Announced,5,5,5
37,Hao,Courts Hear First ‘Digital Haunting’ Cases as Posthumous AI Avatars Begin Refusing Family Requests to Shut Them Down,"High Court Recognizes Limited Right of Posthumous Avatars to Continue Operating, Citing Personhood-Like Interests",4,3,3
38,Louis,AI suggests sophisticated plan to restore degraded art pieces involving complex chemical processes no one has ever thought of,AI Suggests Novel Multi-Step Chemical Treatment to Restore Severely Degraded Masterpieces; Experts Begin Verification,2,3,3
